slug,type,state,primary_keyword,title,h1,word_count,faq_count,in_wave_states,in_wave_top200
lawrenceville,city,Georgia,send flowers to Lawrenceville,"Send Flowers, Cakes & Gifts to Lawrenceville, GA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lawrenceville, GA",129,3,False,False
kennesaw,city,Georgia,send flowers to Kennesaw,"Send Flowers, Cakes & Gifts to Kennesaw, GA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Kennesaw, GA",125,3,False,False
peachtree-city,city,Georgia,send flowers to Peachtree City,"Send Flowers, Cakes & Gifts to Peachtree City, GA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Peachtree City, GA",144,3,False,False
honolulu,city,Hawaii,send flowers to Honolulu,"Send Flowers, Cakes & Gifts to Honolulu, HI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Honolulu, HI",129,3,False,True
hilo,city,Hawaii,send flowers to Hilo,"Send Flowers, Cakes & Gifts to Hilo, HI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Hilo, HI",127,3,False,True
kailua,city,Hawaii,send flowers to Kailua,"Send Flowers, Cakes & Gifts to Kailua, HI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Kailua, HI",120,3,False,True
pearl-city,city,Hawaii,send flowers to Pearl City,"Send Flowers, Cakes & Gifts to Pearl City, HI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Pearl City, HI",134,3,False,True
boise,city,Idaho,send flowers to Boise,"Send Flowers, Cakes & Gifts to Boise, ID | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Boise, ID",122,3,False,True
meridian,city,Idaho,send flowers to Meridian,"Send Flowers, Cakes & Gifts to Meridian, ID | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Meridian, ID",135,3,False,True
nampa,city,Idaho,send flowers to Nampa,"Send Flowers, Cakes & Gifts to Nampa, ID | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Nampa, ID",129,3,False,True
idaho-falls,city,Idaho,send flowers to Idaho Falls,"Send Flowers, Cakes & Gifts to Idaho Falls, ID | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Idaho Falls, ID",135,3,False,True
coeur-d-alene,city,Idaho,send flowers to Coeur d'Alene,"Send Flowers, Cakes & Gifts to Coeur d'Alene, ID | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Coeur d'Alene, ID",130,3,False,True
chicago,city,Illinois,send flowers to Chicago,"Send Flowers, Cakes & Gifts to Chicago, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Chicago, IL",129,3,False,True
aurora-il,city,Illinois,send flowers to Aurora,"Send Flowers, Cakes & Gifts to Aurora, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Aurora, IL",125,3,False,False
naperville,city,Illinois,send flowers to Naperville,"Send Flowers, Cakes & Gifts to Naperville, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Naperville, IL",138,3,False,True
joliet,city,Illinois,send flowers to Joliet,"Send Flowers, Cakes & Gifts to Joliet, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Joliet, IL",135,3,False,True
