slug,type,state,primary_keyword,title,h1,word_count,faq_count,in_wave_states,in_wave_top200
new-bedford,city,Massachusetts,send flowers to New Bedford,"Send Flowers, Cakes & Gifts to New Bedford, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to New Bedford, MA",129,3,False,True
newton,city,Massachusetts,send flowers to Newton,"Send Flowers, Cakes & Gifts to Newton, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Newton, MA",126,3,False,True
somerville,city,Massachusetts,send flowers to Somerville,"Send Flowers, Cakes & Gifts to Somerville, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Somerville, MA",124,3,False,True
framingham,city,Massachusetts,send flowers to Framingham,"Send Flowers, Cakes & Gifts to Framingham, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Framingham, MA",137,3,False,True
waltham,city,Massachusetts,send flowers to Waltham,"Send Flowers, Cakes & Gifts to Waltham, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Waltham, MA",131,3,False,False
medford,city,Massachusetts,send flowers to Medford,"Send Flowers, Cakes & Gifts to Medford, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Medford, MA",129,3,False,False
brookline,city,Massachusetts,send flowers to Brookline,"Send Flowers, Cakes & Gifts to Brookline, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Brookline, MA",122,3,False,False
andover,city,Massachusetts,send flowers to Andover,"Send Flowers, Cakes & Gifts to Andover, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Andover, MA",126,3,False,False
burlington,city,Massachusetts,send flowers to Burlington,"Send Flowers, Cakes & Gifts to Burlington, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Burlington, MA",124,3,False,False
lexington-ma,city,Massachusetts,send flowers to Lexington,"Send Flowers, Cakes & Gifts to Lexington, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lexington, MA",137,3,False,False
natick,city,Massachusetts,send flowers to Natick,"Send Flowers, Cakes & Gifts to Natick, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Natick, MA",131,3,False,False
needham,city,Massachusetts,send flowers to Needham,"Send Flowers, Cakes & Gifts to Needham, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Needham, MA",129,3,False,False
detroit,city,Michigan,send flowers to Detroit,"Send Flowers, Cakes & Gifts to Detroit, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Detroit, MI",126,3,False,True
grand-rapids,city,Michigan,send flowers to Grand Rapids,"Send Flowers, Cakes & Gifts to Grand Rapids, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Grand Rapids, MI",134,3,False,True
warren,city,Michigan,send flowers to Warren,"Send Flowers, Cakes & Gifts to Warren, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Warren, MI",131,3,False,True
sterling-heights,city,Michigan,send flowers to Sterling Heights,"Send Flowers, Cakes & Gifts to Sterling Heights, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Sterling Heights, MI",146,3,False,True
ann-arbor,city,Michigan,send flowers to Ann Arbor,"Send Flowers, Cakes & Gifts to Ann Arbor, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Ann Arbor, MI",139,3,False,True
lansing,city,Michigan,send flowers to Lansing,"Send Flowers, Cakes & Gifts to Lansing, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lansing, MI",134,3,False,True
dearborn,city,Michigan,send flowers to Dearborn,"Send Flowers, Cakes & Gifts to Dearborn, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Dearborn, MI",125,3,False,True
livonia,city,Michigan,send flowers to Livonia,"Send Flowers, Cakes & Gifts to Livonia, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Livonia, MI",130,3,False,True
troy,city,Michigan,send flowers to Troy,"Send Flowers, Cakes & Gifts to Troy, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Troy, MI",133,3,False,True
farmington-hills,city,Michigan,send flowers to Farmington Hills,"Send Flowers, Cakes & Gifts to Farmington Hills, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Farmington Hills, MI",145,3,False,True
novi,city,Michigan,send flowers to Novi,"Send Flowers, Cakes & Gifts to Novi, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Novi, MI",136,3,False,True
rochester-hills,city,Michigan,send flowers to Rochester Hills,"Send Flowers, Cakes & Gifts to Rochester Hills, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Rochester Hills, MI",140,3,False,True
canton,city,Michigan,send flowers to Canton,"Send Flowers, Cakes & Gifts to Canton, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Canton, MI",125,3,False,False
royal-oak,city,Michigan,send flowers to Royal Oak,"Send Flowers, Cakes & Gifts to Royal Oak, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Royal Oak, MI",137,3,False,False
kalamazoo,city,Michigan,send flowers to Kalamazoo,"Send Flowers, Cakes & Gifts to Kalamazoo, MI | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Kalamazoo, MI",128,3,False,False
minneapolis,city,Minnesota,send flowers to Minneapolis,"Send Flowers, Cakes & Gifts to Minneapolis, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Minneapolis, MN",142,3,False,True
saint-paul,city,Minnesota,send flowers to Saint Paul,"Send Flowers, Cakes & Gifts to Saint Paul, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Saint Paul, MN",138,3,False,True
rochester,city,Minnesota,send flowers to Rochester,"Send Flowers, Cakes & Gifts to Rochester, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Rochester, MN",127,3,False,True
bloomington-mn,city,Minnesota,send flowers to Bloomington,"Send Flowers, Cakes & Gifts to Bloomington, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bloomington, MN",126,3,False,False
duluth-mn,city,Minnesota,send flowers to Duluth,"Send Flowers, Cakes & Gifts to Duluth, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Duluth, MN",124,3,False,False
brooklyn-park,city,Minnesota,send flowers to Brooklyn Park,"Send Flowers, Cakes & Gifts to Brooklyn Park, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Brooklyn Park, MN",133,3,False,True
plymouth,city,Minnesota,send flowers to Plymouth,"Send Flowers, Cakes & Gifts to Plymouth, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Plymouth, MN",141,3,False,True
eagan,city,Minnesota,send flowers to Eagan,"Send Flowers, Cakes & Gifts to Eagan, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Eagan, MN",135,3,False,True
woodbury,city,Minnesota,send flowers to Woodbury,"Send Flowers, Cakes & Gifts to Woodbury, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Woodbury, MN",132,3,False,True
maple-grove,city,Minnesota,send flowers to Maple Grove,"Send Flowers, Cakes & Gifts to Maple Grove, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Maple Grove, MN",132,3,False,True
eden-prairie,city,Minnesota,send flowers to Eden Prairie,"Send Flowers, Cakes & Gifts to Eden Prairie, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Eden Prairie, MN",133,3,False,True
edina,city,Minnesota,send flowers to Edina,"Send Flowers, Cakes & Gifts to Edina, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Edina, MN",127,3,False,True
minnetonka,city,Minnesota,send flowers to Minnetonka,"Send Flowers, Cakes & Gifts to Minnetonka, MN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Minnetonka, MN",140,3,False,False
jackson,city,Mississippi,send flowers to Jackson,"Send Flowers, Cakes & Gifts to Jackson, MS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Jackson, MS",129,3,False,True
gulfport,city,Mississippi,send flowers to Gulfport,"Send Flowers, Cakes & Gifts to Gulfport, MS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Gulfport, MS",127,3,False,True
southaven,city,Mississippi,send flowers to Southaven,"Send Flowers, Cakes & Gifts to Southaven, MS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Southaven, MS",120,3,False,True
hattiesburg,city,Mississippi,send flowers to Hattiesburg,"Send Flowers, Cakes & Gifts to Hattiesburg, MS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Hattiesburg, MS",124,3,False,True
biloxi,city,Mississippi,send flowers to Biloxi,"Send Flowers, Cakes & Gifts to Biloxi, MS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Biloxi, MS",122,3,False,False
kansas-city-mo,city,Missouri,send flowers to Kansas City,"Send Flowers, Cakes & Gifts to Kansas City, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Kansas City, MO",146,3,False,False
st-louis,city,Missouri,send flowers to St. Louis,"Send Flowers, Cakes & Gifts to St. Louis, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to St. Louis, MO",121,3,False,False
springfield-mo,city,Missouri,send flowers to Springfield,"Send Flowers, Cakes & Gifts to Springfield, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Springfield, MO",127,3,False,False
columbia-mo,city,Missouri,send flowers to Columbia,"Send Flowers, Cakes & Gifts to Columbia, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Columbia, MO",120,3,False,False
independence,city,Missouri,send flowers to Independence,"Send Flowers, Cakes & Gifts to Independence, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Independence, MO",135,3,False,False
lee-s-summit,city,Missouri,send flowers to Lee's Summit,"Send Flowers, Cakes & Gifts to Lee's Summit, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lee's Summit, MO",135,3,False,False
o-fallon,city,Missouri,send flowers to O'Fallon,"Send Flowers, Cakes & Gifts to O'Fallon, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to O'Fallon, MO",141,3,False,False
st-charles,city,Missouri,send flowers to St. Charles,"Send Flowers, Cakes & Gifts to St. Charles, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to St. Charles, MO",120,3,False,False
st-peters,city,Missouri,send flowers to St. Peters,"Send Flowers, Cakes & Gifts to St. Peters, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to St. Peters, MO",137,3,False,False
chesterfield,city,Missouri,send flowers to Chesterfield,"Send Flowers, Cakes & Gifts to Chesterfield, MO | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Chesterfield, MO",128,3,False,False
billings,city,Montana,send flowers to Billings,"Send Flowers, Cakes & Gifts to Billings, MT | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Billings, MT",124,3,False,False
missoula,city,Montana,send flowers to Missoula,"Send Flowers, Cakes & Gifts to Missoula, MT | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Missoula, MT",122,3,False,False
great-falls,city,Montana,send flowers to Great Falls,"Send Flowers, Cakes & Gifts to Great Falls, MT | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Great Falls, MT",143,3,False,False
bozeman,city,Montana,send flowers to Bozeman,"Send Flowers, Cakes & Gifts to Bozeman, MT | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bozeman, MT",129,3,False,False
omaha,city,Nebraska,send flowers to Omaha,"Send Flowers, Cakes & Gifts to Omaha, NE | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Omaha, NE",127,3,False,False
lincoln,city,Nebraska,send flowers to Lincoln,"Send Flowers, Cakes & Gifts to Lincoln, NE | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lincoln, NE",120,3,False,False
bellevue,city,Nebraska,send flowers to Bellevue,"Send Flowers, Cakes & Gifts to Bellevue, NE | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bellevue, NE",124,3,False,False
papillion,city,Nebraska,send flowers to Papillion,"Send Flowers, Cakes & Gifts to Papillion, NE | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Papillion, NE",122,3,False,False
las-vegas,city,Nevada,send flowers to Las Vegas,"Send Flowers, Cakes & Gifts to Las Vegas, NV | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Las Vegas, NV",145,3,False,False
henderson,city,Nevada,send flowers to Henderson,"Send Flowers, Cakes & Gifts to Henderson, NV | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Henderson, NV",138,3,False,False
north-las-vegas,city,Nevada,send flowers to North Las Vegas,"Send Flowers, Cakes & Gifts to North Las Vegas, NV | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to North Las Vegas, NV",140,3,False,False
reno,city,Nevada,send flowers to Reno,"Send Flowers, Cakes & Gifts to Reno, NV | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Reno, NV",120,3,False,False
sparks,city,Nevada,send flowers to Sparks,"Send Flowers, Cakes & Gifts to Sparks, NV | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Sparks, NV",124,3,False,False
summerlin,city,Nevada,send flowers to Summerlin,"Send Flowers, Cakes & Gifts to Summerlin, NV | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Summerlin, NV",131,3,False,False
manchester,city,New Hampshire,send flowers to Manchester,"Send Flowers, Cakes & Gifts to Manchester, NH | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Manchester, NH",139,3,False,False
nashua,city,New Hampshire,send flowers to Nashua,"Send Flowers, Cakes & Gifts to Nashua, NH | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Nashua, NH",132,3,False,False
concord-nh,city,New Hampshire,send flowers to Concord,"Send Flowers, Cakes & Gifts to Concord, NH | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Concord, NH",130,3,False,False
newark-nj,city,New Jersey,send flowers to Newark,"Send Flowers, Cakes & Gifts to Newark, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Newark, NJ",127,3,False,False
jersey-city,city,New Jersey,send flowers to Jersey City,"Send Flowers, Cakes & Gifts to Jersey City, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Jersey City, NJ",141,3,False,False
paterson,city,New Jersey,send flowers to Paterson,"Send Flowers, Cakes & Gifts to Paterson, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Paterson, NJ",128,3,False,False
elizabeth,city,New Jersey,send flowers to Elizabeth,"Send Flowers, Cakes & Gifts to Elizabeth, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Elizabeth, NJ",143,3,False,False
edison,city,New Jersey,send flowers to Edison,"Send Flowers, Cakes & Gifts to Edison, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Edison, NJ",135,3,False,False
woodbridge,city,New Jersey,send flowers to Woodbridge,"Send Flowers, Cakes & Gifts to Woodbridge, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Woodbridge, NJ",131,3,False,False
lakewood-nj,city,New Jersey,send flowers to Lakewood,"Send Flowers, Cakes & Gifts to Lakewood, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lakewood, NJ",128,3,False,False
toms-river,city,New Jersey,send flowers to Toms River,"Send Flowers, Cakes & Gifts to Toms River, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Toms River, NJ",137,3,False,False
hamilton,city,New Jersey,send flowers to Hamilton,"Send Flowers, Cakes & Gifts to Hamilton, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Hamilton, NJ",126,3,False,False
trenton,city,New Jersey,send flowers to Trenton,"Send Flowers, Cakes & Gifts to Trenton, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Trenton, NJ",139,3,False,False
clifton,city,New Jersey,send flowers to Clifton,"Send Flowers, Cakes & Gifts to Clifton, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Clifton, NJ",134,3,False,False
passaic,city,New Jersey,send flowers to Passaic,"Send Flowers, Cakes & Gifts to Passaic, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Passaic, NJ",132,3,False,False
union-city-nj,city,New Jersey,send flowers to Union City,"Send Flowers, Cakes & Gifts to Union City, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Union City, NJ",134,3,False,False
bayonne,city,New Jersey,send flowers to Bayonne,"Send Flowers, Cakes & Gifts to Bayonne, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bayonne, NJ",133,3,False,False
east-orange,city,New Jersey,send flowers to East Orange,"Send Flowers, Cakes & Gifts to East Orange, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to East Orange, NJ",132,3,False,False
princeton,city,New Jersey,send flowers to Princeton,"Send Flowers, Cakes & Gifts to Princeton, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Princeton, NJ",140,3,False,False
plainsboro,city,New Jersey,send flowers to Plainsboro,"Send Flowers, Cakes & Gifts to Plainsboro, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Plainsboro, NJ",133,3,False,False
piscataway,city,New Jersey,send flowers to Piscataway,"Send Flowers, Cakes & Gifts to Piscataway, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Piscataway, NJ",132,3,False,False
new-brunswick,city,New Jersey,send flowers to New Brunswick,"Send Flowers, Cakes & Gifts to New Brunswick, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to New Brunswick, NJ",130,3,False,False
hoboken,city,New Jersey,send flowers to Hoboken,"Send Flowers, Cakes & Gifts to Hoboken, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Hoboken, NJ",137,3,False,False
parsippany,city,New Jersey,send flowers to Parsippany,"Send Flowers, Cakes & Gifts to Parsippany, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Parsippany, NJ",129,3,False,False
cherry-hill,city,New Jersey,send flowers to Cherry Hill,"Send Flowers, Cakes & Gifts to Cherry Hill, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Cherry Hill, NJ",147,3,False,False
fort-lee,city,New Jersey,send flowers to Fort Lee,"Send Flowers, Cakes & Gifts to Fort Lee, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Fort Lee, NJ",121,3,False,False
jersey-shore,city,New Jersey,send flowers to Jersey Shore,"Send Flowers, Cakes & Gifts to Jersey Shore, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Jersey Shore, NJ",136,3,False,False
montclair,city,New Jersey,send flowers to Montclair,"Send Flowers, Cakes & Gifts to Montclair, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Montclair, NJ",126,3,False,False
somerset,city,New Jersey,send flowers to Somerset,"Send Flowers, Cakes & Gifts to Somerset, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Somerset, NJ",130,3,False,False
bridgewater,city,New Jersey,send flowers to Bridgewater,"Send Flowers, Cakes & Gifts to Bridgewater, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bridgewater, NJ",128,3,False,False
marlboro,city,New Jersey,send flowers to Marlboro,"Send Flowers, Cakes & Gifts to Marlboro, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Marlboro, NJ",143,3,False,False
freehold,city,New Jersey,send flowers to Freehold,"Send Flowers, Cakes & Gifts to Freehold, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Freehold, NJ",135,3,False,False
iselin,city,New Jersey,send flowers to Iselin,"Send Flowers, Cakes & Gifts to Iselin, NJ | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Iselin, NJ",131,3,False,False
albuquerque,city,New Mexico,send flowers to Albuquerque,"Send Flowers, Cakes & Gifts to Albuquerque, NM | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Albuquerque, NM",124,3,False,False
las-cruces,city,New Mexico,send flowers to Las Cruces,"Send Flowers, Cakes & Gifts to Las Cruces, NM | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Las Cruces, NM",138,3,False,False
rio-rancho,city,New Mexico,send flowers to Rio Rancho,"Send Flowers, Cakes & Gifts to Rio Rancho, NM | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Rio Rancho, NM",136,3,False,False
santa-fe,city,New Mexico,send flowers to Santa Fe,"Send Flowers, Cakes & Gifts to Santa Fe, NM | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Santa Fe, NM",147,3,False,False
new-york-city,city,New York,send flowers to New York City,"Send Flowers, Cakes & Gifts to New York City, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to New York City, NY",128,3,False,False
buffalo,city,New York,send flowers to Buffalo,"Send Flowers, Cakes & Gifts to Buffalo, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Buffalo, NY",131,3,False,False
rochester-ny,city,New York,send flowers to Rochester,"Send Flowers, Cakes & Gifts to Rochester, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Rochester, NY",124,3,False,False
yonkers,city,New York,send flowers to Yonkers,"Send Flowers, Cakes & Gifts to Yonkers, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Yonkers, NY",134,3,False,False
syracuse,city,New York,send flowers to Syracuse,"Send Flowers, Cakes & Gifts to Syracuse, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Syracuse, NY",127,3,False,False
albany-ny,city,New York,send flowers to Albany,"Send Flowers, Cakes & Gifts to Albany, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Albany, NY",139,3,False,False
new-rochelle,city,New York,send flowers to New Rochelle,"Send Flowers, Cakes & Gifts to New Rochelle, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to New Rochelle, NY",122,3,False,False
mount-vernon,city,New York,send flowers to Mount Vernon,"Send Flowers, Cakes & Gifts to Mount Vernon, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Mount Vernon, NY",139,3,False,False
schenectady,city,New York,send flowers to Schenectady,"Send Flowers, Cakes & Gifts to Schenectady, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Schenectady, NY",124,3,False,False
utica,city,New York,send flowers to Utica,"Send Flowers, Cakes & Gifts to Utica, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Utica, NY",128,3,False,False
white-plains,city,New York,send flowers to White Plains,"Send Flowers, Cakes & Gifts to White Plains, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to White Plains, NY",135,3,False,False
brooklyn,city,New York,send flowers to Brooklyn,"Send Flowers, Cakes & Gifts to Brooklyn, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Brooklyn, NY",146,3,False,False
queens,city,New York,send flowers to Queens,"Send Flowers, Cakes & Gifts to Queens, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Queens, NY",135,3,False,False
bronx,city,New York,send flowers to Bronx,"Send Flowers, Cakes & Gifts to Bronx, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bronx, NY",136,3,False,False
staten-island,city,New York,send flowers to Staten Island,"Send Flowers, Cakes & Gifts to Staten Island, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Staten Island, NY",134,3,False,False
manhattan,city,New York,send flowers to Manhattan,"Send Flowers, Cakes & Gifts to Manhattan, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Manhattan, NY",133,3,False,False
hempstead,city,New York,send flowers to Hempstead,"Send Flowers, Cakes & Gifts to Hempstead, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Hempstead, NY",130,3,False,False
long-island,city,New York,send flowers to Long Island,"Send Flowers, Cakes & Gifts to Long Island, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Long Island, NY",145,3,False,False
scarsdale,city,New York,send flowers to Scarsdale,"Send Flowers, Cakes & Gifts to Scarsdale, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Scarsdale, NY",139,3,False,False
great-neck,city,New York,send flowers to Great Neck,"Send Flowers, Cakes & Gifts to Great Neck, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Great Neck, NY",136,3,False,False
jericho,city,New York,send flowers to Jericho,"Send Flowers, Cakes & Gifts to Jericho, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Jericho, NY",126,3,False,False
syosset,city,New York,send flowers to Syosset,"Send Flowers, Cakes & Gifts to Syosset, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Syosset, NY",129,3,False,False
poughkeepsie,city,New York,send flowers to Poughkeepsie,"Send Flowers, Cakes & Gifts to Poughkeepsie, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Poughkeepsie, NY",128,3,False,False
ithaca,city,New York,send flowers to Ithaca,"Send Flowers, Cakes & Gifts to Ithaca, NY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Ithaca, NY",139,3,False,False
charlotte,city,North Carolina,send flowers to Charlotte,"Send Flowers, Cakes & Gifts to Charlotte, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Charlotte, NC",132,3,False,False
raleigh,city,North Carolina,send flowers to Raleigh,"Send Flowers, Cakes & Gifts to Raleigh, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Raleigh, NC",131,3,False,False
greensboro,city,North Carolina,send flowers to Greensboro,"Send Flowers, Cakes & Gifts to Greensboro, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Greensboro, NC",131,3,False,False
durham,city,North Carolina,send flowers to Durham,"Send Flowers, Cakes & Gifts to Durham, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Durham, NC",130,3,False,False
winston-salem,city,North Carolina,send flowers to Winston-Salem,"Send Flowers, Cakes & Gifts to Winston-Salem, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Winston-Salem, NC",134,3,False,False
fayetteville-nc,city,North Carolina,send flowers to Fayetteville,"Send Flowers, Cakes & Gifts to Fayetteville, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Fayetteville, NC",138,3,False,False
cary,city,North Carolina,send flowers to Cary,"Send Flowers, Cakes & Gifts to Cary, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Cary, NC",133,3,False,False
wilmington-nc,city,North Carolina,send flowers to Wilmington,"Send Flowers, Cakes & Gifts to Wilmington, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Wilmington, NC",131,3,False,False
high-point,city,North Carolina,send flowers to High Point,"Send Flowers, Cakes & Gifts to High Point, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to High Point, NC",133,3,False,False
concord-nc,city,North Carolina,send flowers to Concord,"Send Flowers, Cakes & Gifts to Concord, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Concord, NC",131,3,False,False
asheville,city,North Carolina,send flowers to Asheville,"Send Flowers, Cakes & Gifts to Asheville, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Asheville, NC",127,3,False,False
chapel-hill,city,North Carolina,send flowers to Chapel Hill,"Send Flowers, Cakes & Gifts to Chapel Hill, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Chapel Hill, NC",145,3,False,False
apex,city,North Carolina,send flowers to Apex,"Send Flowers, Cakes & Gifts to Apex, NC | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Apex, NC",133,3,False,False
