source,destination,status
/send-rakhi-to-salinas,/gifts-to-salinas,301
/send-rakhi-to-hayward,/gifts-to-hayward,301
/send-rakhi-to-pomona,/gifts-to-pomona,301
/send-rakhi-to-escondido,/gifts-to-escondido,301
/send-rakhi-to-sunnyvale,/gifts-to-sunnyvale,301
/send-rakhi-to-torrance,/gifts-to-torrance,301
/send-rakhi-to-pasadena,/gifts-to-pasadena,301
/send-rakhi-to-orange,/gifts-to-orange,301
/send-rakhi-to-fullerton,/gifts-to-fullerton,301
/send-rakhi-to-thousand-oaks,/gifts-to-thousand-oaks,301
/send-rakhi-to-visalia,/gifts-to-visalia,301
/send-rakhi-to-roseville,/gifts-to-roseville,301
/send-rakhi-to-concord,/gifts-to-concord,301
/send-rakhi-to-santa-clara,/gifts-to-santa-clara,301
/send-rakhi-to-vallejo,/gifts-to-vallejo,301
/send-rakhi-to-berkeley,/gifts-to-berkeley,301
/send-rakhi-to-fairfield,/gifts-to-fairfield,301
/send-rakhi-to-antioch,/gifts-to-antioch,301
/send-rakhi-to-richmond,/gifts-to-richmond,301
/send-rakhi-to-murrieta,/gifts-to-murrieta,301
/send-rakhi-to-temecula,/gifts-to-temecula,301
/send-rakhi-to-carlsbad,/gifts-to-carlsbad,301
/send-rakhi-to-milpitas,/gifts-to-milpitas,301
/send-rakhi-to-pleasanton,/gifts-to-pleasanton,301
/send-rakhi-to-livermore,/gifts-to-livermore,301
/send-rakhi-to-mountain-view,/gifts-to-mountain-view,301
/send-rakhi-to-cupertino,/gifts-to-cupertino,301
/send-rakhi-to-redwood-city,/gifts-to-redwood-city,301
/send-rakhi-to-palo-alto,/gifts-to-palo-alto,301
/send-rakhi-to-san-mateo,/gifts-to-san-mateo,301
/send-rakhi-to-daly-city,/gifts-to-daly-city,301
/send-rakhi-to-burbank,/gifts-to-burbank,301
/send-rakhi-to-inglewood,/gifts-to-inglewood,301
/send-rakhi-to-west-covina,/gifts-to-west-covina,301
/send-rakhi-to-norwalk,/gifts-to-norwalk,301
/send-rakhi-to-downey,/gifts-to-downey,301
/send-rakhi-to-costa-mesa,/gifts-to-costa-mesa,301
/send-rakhi-to-newport-beach,/gifts-to-newport-beach,301
/send-rakhi-to-redlands,/gifts-to-redlands,301
/send-rakhi-to-chico,/gifts-to-chico,301
/send-rakhi-to-merced,/gifts-to-merced,301
/send-rakhi-to-tracy,/gifts-to-tracy,301
/send-rakhi-to-folsom,/gifts-to-folsom,301
/send-rakhi-to-napa,/gifts-to-napa,301
/send-rakhi-to-walnut-creek,/gifts-to-walnut-creek,301
/send-rakhi-to-dublin,/gifts-to-dublin,301
/send-rakhi-to-san-ramon,/gifts-to-san-ramon,301
/send-rakhi-to-union-city,/gifts-to-union-city,301
/send-rakhi-to-newark,/gifts-to-newark,301
/send-rakhi-to-cerritos,/gifts-to-cerritos,301
/send-rakhi-to-diamond-bar,/gifts-to-diamond-bar,301
/send-rakhi-to-arcadia,/gifts-to-arcadia,301
/send-rakhi-to-alhambra,/gifts-to-alhambra,301
/send-rakhi-to-culver-city,/gifts-to-culver-city,301
/send-rakhi-to-beverly-hills,/gifts-to-beverly-hills,301
/send-rakhi-to-santa-monica,/gifts-to-santa-monica,301
/send-rakhi-to-denver,/gifts-to-denver,301
/send-rakhi-to-colorado-springs,/gifts-to-colorado-springs,301
/send-rakhi-to-aurora,/gifts-to-aurora,301
/send-rakhi-to-fort-collins,/gifts-to-fort-collins,301
/send-rakhi-to-lakewood,/gifts-to-lakewood,301
/send-rakhi-to-thornton,/gifts-to-thornton,301
/send-rakhi-to-arvada,/gifts-to-arvada,301
/send-rakhi-to-westminster,/gifts-to-westminster,301
/send-rakhi-to-boulder,/gifts-to-boulder,301
/send-rakhi-to-pueblo,/gifts-to-pueblo,301
/send-rakhi-to-centennial,/gifts-to-centennial,301
/send-rakhi-to-greeley,/gifts-to-greeley,301
/send-rakhi-to-longmont,/gifts-to-longmont,301
/send-rakhi-to-castle-rock,/gifts-to-castle-rock,301
/send-rakhi-to-broomfield,/gifts-to-broomfield,301
/send-rakhi-to-bridgeport,/gifts-to-bridgeport,301
/send-rakhi-to-new-haven,/gifts-to-new-haven,301
/send-rakhi-to-stamford,/gifts-to-stamford,301
/send-rakhi-to-hartford,/gifts-to-hartford,301
/send-rakhi-to-waterbury,/gifts-to-waterbury,301
/send-rakhi-to-norwalk-ct,/gifts-to-norwalk-ct,301
/send-rakhi-to-danbury,/gifts-to-danbury,301
/send-rakhi-to-greenwich,/gifts-to-greenwich,301
/send-rakhi-to-stratford,/gifts-to-stratford,301
/send-rakhi-to-west-hartford,/gifts-to-west-hartford,301
/send-rakhi-to-wilmington,/gifts-to-wilmington,301
/send-rakhi-to-dover,/gifts-to-dover,301
/send-rakhi-to-newark-de,/gifts-to-newark-de,301
/send-rakhi-to-jacksonville,/gifts-to-jacksonville,301
/send-rakhi-to-miami,/gifts-to-miami,301
/send-rakhi-to-tampa,/gifts-to-tampa,301
/send-rakhi-to-orlando,/gifts-to-orlando,301
/send-rakhi-to-st-petersburg,/gifts-to-st-petersburg,301
/send-rakhi-to-hialeah,/gifts-to-hialeah,301
/send-rakhi-to-port-st-lucie,/gifts-to-port-st-lucie,301
/send-rakhi-to-cape-coral,/gifts-to-cape-coral,301
/send-rakhi-to-tallahassee,/gifts-to-tallahassee,301
/send-rakhi-to-fort-lauderdale,/gifts-to-fort-lauderdale,301
/send-rakhi-to-pembroke-pines,/gifts-to-pembroke-pines,301
/send-rakhi-to-hollywood,/gifts-to-hollywood,301
/send-rakhi-to-gainesville,/gifts-to-gainesville,301
